geneid,ab40
1,0.509799083
2,0.757599276
9,-1.213443729
10,-0.415496912
12,0.191583755
13,-3.108675878
14,-3.00439216
16,0.650664129
18,0.717945756
19,-1.369979175
20,-1.800613122
21,-1.828341226
22,-2.050756172
23,-1.709573568
24,0.755205442
25,0.085496879
27,0.231419125
29,-2.427672415
30,0.735808754
32,0.716966594
33,-1.15486369
34,-0.16716882
36,-0.111215719
37,0.766403405
38,1.633724558
39,0.079298925
40,-0.476690805
47,-2.422785198
48,0.244820618
49,-2.078177677
50,0.127393485
51,0.168968014
52,-0.812850367
53,0.64165536
54,1.696316097
55,0.217671501
56,0.969858115
60,-0.185252348
70,-0.728510567
71,-0.632357125
72,-0.182969061
81,0.070391427
86,-0.292926415
87,0.087274537
88,0.287843214
89,0.436202924
90,0.276658177
91,-2.454695116
92,0.784689153
93,0.171519317
94,1.131717782
95,0.195452793
97,-1.254734673
98,-0.655638578
100,-1.090927106
102,0.131892677
103,-1.319741187
104,0.325549917
107,-3.104820802
108,1.014243237
109,-3.136084268
111,-0.201722802
112,1.406097673
113,0.279905236
114,-0.648592517
115,-0.815351071
116,1.145634853
117,-0.089582488
118,-0.449878977
119,-1.060157686
120,-0.779718209
123,1.439775208
125,0.657807379
126,0.02204307
127,0.641142617
128,-3.590682423
130,0.860994715
131,-1.401416675
132,0.529275285
133,-0.333690734
134,-0.851593243
135,1.01810323
136,-0.931250779
140,0.270932112
141,-0.573301336
142,-0.159767932
143,0.221128283
148,0.926313462
151,0.172996711
154,-0.354121489
156,1.089869148
157,-1.379769301
158,0.245285597
159,1.932294246
160,-0.812894016
161,0.068015554
162,0.188162789
163,-1.035951616
164,0.078938417
166,0.04566846
167,-0.446660534
172,-2.114705128
173,1.562502088
174,-0.580453124
175,-0.573649542
176,0.042749762
177,-0.226637081
178,1.115605406
182,0.221271968
183,-1.255196987
185,0.828289254
186,-0.999591234
190,1.475819349
191,-2.034839479
196,0.994734307
197,0.104906543
199,-0.942141774
203,0.521166402
204,1.120257985
207,0.771483348
208,-0.55063902
210,-0.191100305
211,-1.408682218
212,0.529701591
213,-0.155519615
214,1.159821359
215,0.180988188
216,-3.554323963
217,-0.250959958
218,0.260466798
219,0.712903935
220,-0.802888241
221,-1.33244166
222,1.482571342
223,0.570126741
224,0.68998434
225,0.622015467
226,0.016435255
228,1.809678786
229,-2.738300197
230,0.482737381
231,0.980848822
238,-3.048351037
239,0.662670108
241,0.358399528
242,0.54810427
244,-0.811674919
246,1.135135358
247,0.404057765
249,-0.510137579
258,-0.524481689
259,0.731410106
262,0.462849445
266,-0.537838389
267,0.569300674
269,-0.136218455
270,-0.340999384
271,-4.123861884
272,-0.765516172
273,0.529290444
274,0.419294336
275,0.173841244
276,0.307561909
279,0.788521125
280,-0.126564182
283,-0.838963139
285,1.597440187
286,-0.864028787
287,-1.150439558
288,0.069950017
290,0.708650872
291,-3.80779138
292,-0.101337163
293,0.668795054
301,-0.86878815
302,-0.103028759
306,-1.178007432
307,-0.176804867
308,-0.728185329
309,-0.702051917
310,1.091794439
311,-0.247401388
312,-0.081297587
313,-1.263727152
314,0.583036537
316,0.350964581
317,-1.453186928
318,0.051777161
319,-0.105319234
320,0.207954866
321,-2.932678448
323,-1.35939874
324,-0.433303114
325,0.447015528
327,0.465135362
328,1.339170949
329,-0.606624337
330,-1.46806451
331,-0.310003973
332,-0.12540511
334,0.901407209
336,0.48059425
338,0.310632968
339,0.173546552
343,-1.031096952
344,2.397290338
347,1.365015268
350,0.873073977
351,-7.674761973
353,0.127232544
354,0.769466497
355,-1.076923778
356,0.698785871
357,-2.219715318
358,1.234010978
359,0.261327597
360,-0.362271749
361,-0.091847893
364,0.05558295
366,0.347858459
367,-0.935435759
369,1.959370842
372,0.675528485
373,0.473915881
374,1.664147907
375,0.826058946
378,1.193730095
379,-0.034388686
381,-1.211301172
382,-0.754658161
383,-0.513420631
384,-0.401188069
387,0.095129667
388,0.764148639
389,1.616403423
390,-0.576597066
391,1.140915574
392,1.031807635
394,-0.213507424
395,0.583587595
396,0.945988982
397,-1.266679852
399,-0.33495885
400,0.003318975
402,0.588303237
403,-1.2812304
405,-0.084419539
406,-1.484172255
407,0.016347978
408,-0.578584015
409,-2.895480516
411,-0.866187882
412,-0.499285198
414,-2.091584172
415,-0.031010243
416,0.638597289
417,0.449700451
419,0.307563318
420,-1.018962448
427,-0.2296193
430,-1.022914776
432,0.649069625
433,0.396566622
435,-0.851456392
438,0.964124723
439,0.813337728
440,-0.490872066
443,0.000502671
444,-1.497663355
445,-1.008531236
