src_geneid,trg_geneid
6927,55281
164,8906
3689,11082
57326,151871
5336,23236
9146,57596
842,317
2203,3837
8658,25913
5985,5981
1477,10262
857,5337
3175,80185
3265,3630
6143,7311
6426,8899
6165,6189
7533,10499
586,26505
6159,6191
6123,29927
3554,3656
5432,6924
8891,8894
3105,3812
6778,7297
4831,440275
5991,222546
6155,6158
7534,994
59307,7100
6193,6829
7088,639
3172,50
10250,988
5721,10379
4090,6626
827,388743
4197,4330
667,1308
6136,6144
940,3683
10295,23475
5580,8754
1737,60626
6161,6170
3455,3716
58484,8915
23028,9094
164656,2335
8379,4085
23435,30818
9282,9441
257218,55294
55591,1495
94120,5873
3172,11331
5156,2885
5684,5711
835,1639
6154,55176
9133,993
6617,171568
4088,10691
1018,1022
650,654
79159,54977
5430,130672
23164,57120
10254,23368
5684,7316
5997,5579
23246,26354
3267,5864
10302,171568
3190,7307
9276,1315
4301,6016
3921,6227
672,2064
55872,57562
6210,6164
10945,55738
6139,116832
551,553
84875,121504
84844,5725
7083,84060
3929,5360
10181,3192
10392,842
24148,29894
1915,9349
3329,1665
7430,999
5050,2547
6628,10421
5195,3065
316,2237
1938,6192
7015,7011
11030,54472
801,6640
3930,26993
6478,5450
857,2697
801,799
818,6236
6311,7514
3172,54496
2521,6628
6207,6227
1000,1003
1742,4035
10120,1107
3662,7186
6633,6626
7040,7448
2192,6320
920,8945
3172,55353
8487,442775
2967,4331
6632,10949
4809,23450
1807,56896
916,6955
627,2668
10002,5914
4361,2956
2957,2963
2629,3609
29997,64145
5332,7443
6133,6155
8607,10933
3172,6155
9612,23411
79813,196743
5682,5707
84988,55661
23521,3646
3169,11052
7399,1285
5111,5422
920,933
516,521
6429,23020
5432,10907
5707,7316
5909,673
324,22919
201288,645740
2673,5213
2961,2967
5717,5718
5154,5155
4998,5708
10611,79869
1499,999
9669,9349
1635,84708
3836,4329
84164,22938
6146,6234
9770,3845
7324,7337
5055,5329
4654,4656
1991,2006
1453,5888
2213,4061
4172,29935
587,83940
4654,8048
80351,2888
1499,1739
3172,2921
3853,3854
4582,1956
3326,11338
3241,7447
23028,2969
1027,6502
23028,55758
5424,57804
5626,8022
3660,4790
6223,6123
2874,10014
6154,6173
6749,2963
4099,1280
1763,6118
5359,10342
10203,27297
5573,79666
5094,6626
4323,7078
6205,140801
54475,55153
4314,64386
2249,2250
10567,79666
6280,6281
2690,2887
23019,4850
4647,10083
6881,6875
5931,8661
5091,8884
7428,55662
5440,7702
84988,79187
5576,23239
5580,10399
5516,9322
1660,10236
5515,54874
6188,6123
7057,1511
57761,207
3172,325
81488,6130
3175,113130
1316,9314
4677,54675
5013,83755
4619,133686
5707,7311
435,4953
5330,54822
4739,4087
4172,6117
10728,405
1392,3643
9265,57658
86,8295
5601,7186
11018,9173
7187,8784
6430,6633
3932,356
1839,2247
1660,5433
10280,3710
259215,2886
841,9994
1080,5581
4950,7525
3172,29086
716,27109
3689,2526
1230,6360
1938,6156
5045,4853
9054,10555
10006,6709
6201,7458
7106,975
30837,5335
81,2885
23397,822
5747,6850
84248,7102
6217,6170
7572,84060
6164,9045
5725,3183
10540,23299
89,2438
1855,22938
5434,10622
940,3684
5439,6232
5705,8013
1263,11200
2673,5709
6736,7490
6224,1975
658,1019
1660,6430
1616,7329
999,130672
8602,65083
2782,55970
2048,5594
7490,7157
2771,2773
10399,5976
321,22883
3960,149986
6193,51121
6011,857
55662,3066
1763,57804
1840,25777
5905,219541
55966,999
3172,3183
3183,6431
5441,4904
1915,6175
5700,6233
6449,138716
8021,81929
6091,9353
7507,4331
5436,5437
4735,11336
10161,27334
5581,5587
1460,11198
80279,1400
6811,10989
6230,5591
4188,94039
2130,55249
1660,10291
56949,57703
5699,5711
6636,3184
163,54386
1857,1855
10181,5434
3320,3303
1022,6117
7311,6129
6192,11224
5303,51602
4686,29894
5071,9246
2597,10524
3270,10345
6138,25873
10399,1996
90627,8887
9092,26121
5710,5715
3605,6347
3172,4207
310,253980
10542,28964
2903,3603
4681,7917
4678,126961
10992,3192
8648,29959
335,3250
1460,8930
6181,6124
6165,6187
952,1803
10551,1400
54433,79882
6256,10499
3145,25973
9315,9520
1869,90338
5163,6834
780,9410
3172,6992
2058,5917
23640,3312
5682,5693
7534,5894
4950,9076
990,5711
5631,5636
2908,8991
1740,491
51121,6170
9319,57707
10621,84265
5966,6722
27257,79602
1854,9825
6462,64777
5718,5721
3667,6517
421,999
4211,3233
659,3984
6160,9141
5707,29127
6927,51496
3172,83640
10992,54676
6462,4494
55663,84838
581,54205
55081,3064
6218,1968
6218,51121
4204,55660
10907,6635
8900,983
6565,6655
2801,5861
7881,23633
5709,10197
10750,356
3172,8546
6447,56893
6210,6130
6164,6232
6632,3183
6156,6217
9277,55127
6124,4691
22809,1054
892,114800
10392,58484
7083,55791
3206,10451
22974,6129
3672,8518
3172,51012
4956,10615
57459,8932
3726,7040
6192,6234
2138,79869
2670,4133
2885,89795
5934,7335
9500,331
7343,9015
4771,6386
5894,3845
5190,5189
64754,5440
9456,28960
6303,3739
29760,2885
9489,9124
6228,6144
10285,11338
2197,6138
654817,356
25942,51132
4110,4291
2768,9002
3842,8106
6156,6189
8805,2908
10564,10985
10489,4650
3235,132556
166,6929
9349,6160
6927,115111
9522,1956
26986,8663
1723,2232
55131,57062
3183,51362
5434,3192
23020,8106
6927,9824
1365,7082
5371,6497
64425,25885
5866,8766
55145,79169
11338,26511
6231,6130
4809,6432
2778,59345
5698,5717
6223,6228
4088,11108
633,1277
4736,6129
56949,2071
4100,7381
5431,51069
2963,3183
4351,55276
4322,11096
1478,4686
983,5112
6633,57599
6209,2197
3553,6289
1874,29880
3659,3716
3675,3690
7490,9589
6205,11224
79658,5585
57819,8106
9886,112479
8174,3695
5111,7486
5433,8175
81,9149
9924,79877
10262,6637
5195,286552
